tconst	averageRating	numVotes
tt0063881	7.9	1221
tt0063887	7.3	1701
tt0063889	7.1	4153
tt0063893	7.3	684
tt0063894	8.3	977
tt0063896	6.7	1107
tt0063897	7.9	917
tt0063907	7.4	2102
tt0063908	7.1	1956
tt0063914	8.1	532
tt0063925	6.8	2726
tt0063927	7.0	1926
tt0063928	7.1	958
tt0063929	8.8	83572
tt0063930	8.1	1102
tt0063934	8.5	509
tt0063936	7.0	2839
tt0063939	7.6	23195
tt0063946	7.7	1628
tt0063948	7.7	1376
tt0063950	7.9	45651
tt0063951	8.1	16550
tt0063955	7.9	674
tt0063962	7.9	4485
tt0064033	7.0	2062
tt0064750	8.4	1008
tt0065035	7.7	974
tt0065272	6.8	3531
tt0065280	6.9	635
tt0065282	7.4	785
tt0065294	7.4	1098
tt0065296	7.7	1991
tt0065307	6.2	2513
tt0065313	9.1	1071
tt0065314	8.3	10916
tt0065317	7.0	4068
tt0065322	7.6	1037
tt0065323	8.2	1642
tt0065326	7.1	1113
tt0065327	7.9	6629
tt0065329	7.9	7748
tt0065333	6.6	5212
tt0065345	8.0	974
tt0066625	7.6	2635
tt0066626	8.4	20061
tt0066630	7.2	695
tt0066633	6.9	1118
tt0066636	6.8	3898
tt0066651	8.1	2477
tt0066652	8.6	2060
tt0066667	6.3	706
tt0066670	8.1	885
tt0066681	7.8	675
tt0066684	8.6	600
tt0066685	7.2	3287
tt0066699	5.6	586
tt0066701	8.0	6281
tt0066702	6.5	628
tt0066704	9.2	1160
tt0066709	8.1	769
tt0066714	8.4	1533
tt0066717	7.1	877
tt0066721	7.8	3822
tt0066722	8.4	3849
tt0068028	8.2	725
tt0068039	7.2	565
tt0068040	8.0	9941
tt0068044	7.6	2400
tt0068049	8.1	7364
tt0068059	8.3	1112
tt0068067	7.9	6819
tt0068068	6.7	644
tt0068069	4.9	3797
tt0068072	6.7	2776
tt0068074	7.6	627
tt0068081	7.6	941
tt0068093	7.6	7981
tt0068096	7.0	838
tt0068098	8.5	67695
tt0068103	7.3	5087
tt0068112	7.6	6112
tt0068120	7.5	4563
tt0068122	6.7	622
tt0068126	6.8	1354
tt0068128	7.9	11659
tt0068132	7.1	616
tt0068135	7.3	7501
tt0068145	7.5	734
tt0068148	7.5	782
tt0068149	7.6	9896
tt0068243	7.7	1729
tt0068304	8.0	1891
tt0068792	7.7	930
tt0069554	6.5	1255
tt0069557	6.9	3416
tt0069576	8.2	5834
tt0069582	7.0	574
tt0069583	8.1	862
tt0069599	7.1	9783
tt0069602	7.1	3989
tt0069606	7.5	698
tt0069607	7.2	1739
tt0069608	8.3	2689
tt0069620	7.5	1301
tt0069627	8.2	4602
tt0069628	8.7	5319
tt0069630	6.5	511
tt0069632	6.9	1021
tt0069633	7.8	505
